,First_Name,Last_Name,Date_Of_Birth,Address,City,State,ZIP_Code,Plan_Type
43,CLEMENT,KNOX,09/27/1945,102 Tucson Cir,Starlight,PA,17002,Platinum Star
44,WILBURN,SIERRA,12/30/1944,177 Mansfield Rd,Hubley,PA,18101,Bronze Star
45,TRUMAN,CAREY,02/13/1973,232 Enid Way,Wawa,PA,18102,Platinum Star
46,ARRON,TERRELL,11/26/1942,426 Haslett Cir,Cooperville,PA,18103,Gold Star
47,NORMAND,MCKEE,01/19/2006,383 South Rd,Beaver,PA,18104,Silver Star
48,CHANCE,MAY,10/26/2008,566 Marblehead Blvd,Southeastern,PA,18105,Platinum Star
49,SONNY,MORENO,10/31/1999,764 Romeoville Cir,Carsonville,PA,18106,Silver Star
50,SANFORD,CASE,04/13/1998,189 Albany Blvd,Erie,PA,18109,Gold Star
51,MAJOR,MEJIA,10/09/2004,383 Altamonte Way,Groffdale,PA,18195,Bronze Star
52,GIOVANNI,DAVIDSON,04/25/1964,791 Ridgecrest Rd,Johnstown,PA,18109,Gold Star
53,JONAS,SUAREZ,09/29/1966,849 Bridgeview St,Waltonville,PA,17810,Gold Star
54,SEBASTIAN,COLLIER,02/26/1951,764 Saginaw St,Shawanese,PA,15413,Gold Star
55,MASON,WIGGINS,10/28/1993,824 Trenton Way,Clarkstown,PA,15101,Platinum Star
56,AVERY,MALDONADO,06/25/1957,191 Hamilton Ct,Oliveburg,PA,16821,Gold Star
57,MERLIN,ROBLES,10/23/1962,455 Sartell Rd,Ramey,PA,17815,Silver Star
58,SHELBY,NAVA,04/29/1943,216 Rochester Way,Brookside,PA,17339,Platinum Star
59,EMERY,CHURCH,01/12/1935,788 Wilmington Cir,Coraopolis,PA,19560,Silver Star
60,ODELL,MCCARTY,10/15/1941,352 Hermiston Cir,Harrisburg,PA,17931,Silver Star
61,TRENTON,PHAN,12/27/1988,764 West St,Lehman,PA,17268,Silver Star
62,DAREN,WOODWARD,01/11/1990,102 Westport Ct,Hegins,PA,16601,Silver Star
63,VALENTIN,PEARSON,06/14/1981,99 Raytown Blvd,Tuscarora,PA,16602,Silver Star
64,DANTE,DECKER,10/25/1941,383 West Ct,Philadelphia,PA,16603,Platinum Star
65,ZACHERY,CASTILLO,09/09/1948,646 Granger Ct,Pottstown,PA,18762,Gold Star
66,BROCK,HART,03/15/1950,737 Missoula St,Pittsburgh,PA,15521,Bronze Star
67,THAD,CORTES,11/19/1988,367 Coney Ln,Mooresburg,PA,15710,Platinum Star
68,FLETCHER,MUNOZ,04/24/1973,791 Bismarck St,Penn,PA,15612,Platinum Star
69,GENARO,HARRELL,05/20/1949,449 Bethlehem Ct,Oakford,PA,17267,Gold Star
70,ALI,ROMERO,05/22/2007,429 Wheeling St,Cochranville,PA,17210,Gold Star
71,BEAU,HERNANDEZ,12/06/1988,850 Opelika Rd,Smithfield,PA,19002,Gold Star
72,GARTH,STEVENSON,04/17/1938,51 Shoreline Ct,Fryburg,PA,15003,Silver Star
73,ELOY,LEON,01/08/2009,789 Roseville Rd,Sunnyburn,PA,15311,Silver Star
74,ANTWAN,HESTER,12/10/1998,505 Beavercreek Rd,Connerton,PA,18320,Platinum Star
75,FERDINAND,RAMIREZ,07/18/1965,989 Plymouth Cir,Atlas,PA,19020,Silver Star
76,ADOLPH,MEDRANO,01/30/2009,970 Iowa Cir,Gregg,PA,17029,Platinum Star
77,BARTON,HARDING,10/27/1952,800 Phoenixville Rd,Wall,PA,17047,Gold Star
78,ROMEO,VALDEZ,09/25/1945,917 Boston Ct,Shindle,PA,17055,Gold Star
79,HERSHEL,WILEY,03/12/1998,918 Morgan Rd,Plains,PA,17233,Gold Star
80,KURTIS,BEARD,10/20/1949,788 South Blvd,Lawn,PA,18211,Bronze Star
81,RUSS,ROSAS,06/28/2003,26 Los Ct,Whitsett,PA,17509,Bronze Star
82,RUSS,DOYLE,07/05/1943,187 Bay Blvd,Audubon,PA,19540,Silver Star
83,BOOKER,ESPARZA,12/21/1939,850 Rutland Rd,Reading,PA,15711,Gold Star
84,CHANCE,MADDEN,01/25/1991,102 Brockton Blvd,Benezette,PA,16018,Gold Star
85,ADOLPH,HANNA,10/14/2009,189 Salina Ct,Lionville,PA,16020,Platinum Star
86,AVERY,CONTRERAS,01/05/1944,315 Huntington Rd,Brockton,PA,17003,Bronze Star
87,TRUMAN,TRAN,02/05/1989,216 Kissimmee St,Rushland,PA,16901,Silver Star
88,LOYD,WATTS,11/25/1966,903 Moscow Ln,Chester,PA,17720,Platinum Star
89,GRAHAM,TRUJILLO,12/15/1990,383 Ottumwa St,Collingdale,PA,17772,Gold Star
90,EMERY,MARKS,06/20/1979,594 Peekskill Cir,Pitt,PA,16617,Gold Star
91,KAREEM,MCCLAIN,12/14/1964,628 Tacoma Ct,Aspers,PA,15613,Silver Star
92,BROCK,ZAMORA,09/02/1952,674 Granger Ln,Wiconisco,PA,17201,Silver Star
93,THADDEUS,GOULD,05/08/1964,970 Greenwood Way,Philadelphia,PA,18012,Silver Star
94,BROOKS,DORSEY,01/29/1982,43 Auburn Rd,Pitt,PA,15712,Silver Star
95,DONNELL,SIMMONS,05/11/1986,594 Havelock Rd,Duquesne,PA,17059,Gold Star
96,DEANDRE,SWANSON,09/20/1994,989 Newport Rd,Northpoint,PA,18403,Silver Star
97,ABE,QUINTERO,09/21/1988,253 Stillwater Cir,Sereno,PA,19420,Gold Star
98,ELISEO,WILKINS,02/04/2009,191 Northbrook St,Philadelphia,PA,15615,Platinum Star
99,DERICK,WALLER,06/24/1983,674 Barberton Cir,Weidmanville,PA,19003,Gold Star
